x,y,z,yaw,velocity,change_flag
366.7354,1024.6750,-13.0160,2.8901,4.8636,0
366.6090,1024.7117,-13.0163,2.8946,4.7335,0
366.4857,1024.7404,-13.0183,2.8982,4.5570,0
366.3528,1024.7797,-13.0308,2.9013,5.0132,0
366.2114,1024.8101,-13.0323,2.9030,5.2011,0
366.0925,1024.8334,-13.0493,2.9045,4.4077,0
365.9599,1024.8575,-13.0473,2.9062,4.8502,0
365.8325,1024.8850,-13.0539,2.9091,4.6959,0
365.7050,1024.9210,-13.0633,2.9135,4.7895,0
365.5756,1024.9454,-13.0614,2.9170,4.7392,0
365.4587,1024.9689,-13.0763,2.9189,4.3311,0
365.3116,1024.9844,-13.0601,2.9182,5.3575,0
365.1751,1025.0256,-13.0761,2.9181,5.1590,0
365.0340,1025.0680,-13.0788,2.9177,5.3017,0
364.9113,1025.0844,-13.0793,2.9141,4.4613,0
364.7804,1025.1100,-13.0910,2.9068,4.8141,0
364.6323,1025.1288,-13.0828,2.8994,5.3881,0
364.5082,1025.1649,-13.0826,2.8929,4.6515,0
364.3936,1025.1958,-13.0978,2.8855,4.3101,0
364.2584,1025.2255,-13.0867,2.8764,5.0019,0
364.1407,1025.2644,-13.1079,2.8682,4.5295,0
364.0127,1025.2998,-13.1181,2.8616,4.7902,0
363.8932,1025.3307,-13.1250,2.8561,4.4469,0
363.7795,1025.3510,-13.1275,2.8525,4.1653,0
363.6781,1025.3771,-13.1208,2.8529,3.7731,0
363.5467,1025.4034,-13.1245,2.8564,4.8374,0
363.4239,1025.4396,-13.1200,2.8606,4.6130,0
363.3227,1025.4631,-13.1276,2.8644,3.7472,0
363.2032,1025.5024,-13.1227,2.8683,4.5348,0
363.0704,1025.5482,-13.1463,2.8735,5.1241,0
362.9479,1025.5936,-13.1569,2.8775,4.7190,0
362.8221,1025.6234,-13.1604,2.8799,4.6630,0
362.6984,1025.6515,-13.1615,2.8824,4.5655,0
362.5826,1025.6781,-13.1675,2.8857,4.2752,0
362.4566,1025.7087,-13.1765,2.8871,4.6774,0
362.3300,1025.7340,-13.1806,2.8869,4.6539,0
362.2072,1025.7460,-13.1806,2.8862,4.4428,0
362.0801,1025.7780,-13.1802,2.8863,4.7251,0
361.9629,1025.8135,-13.1896,2.8880,4.4256,0
361.8366,1025.8378,-13.1951,2.8903,4.6236,0
361.7178,1025.8678,-13.1930,2.8933,4.4168,0
361.6013,1025.8948,-13.2019,2.8972,4.2587,0
361.4745,1025.9229,-13.2068,2.9019,4.7318,0
361.3513,1025.9554,-13.2148,2.9056,4.5881,0
361.2376,1025.9753,-13.2123,2.9088,4.1609,0
361.1143,1026.0148,-13.2252,2.9119,4.6892,0
360.9923,1026.0427,-13.2214,2.9135,4.5061,0
360.8687,1026.0646,-13.2272,2.9114,4.5240,0
360.7489,1026.0833,-13.2337,2.9077,4.3756,0
360.6227,1026.1174,-13.2388,2.9069,4.7185,0
360.5195,1026.1371,-13.2448,2.9097,3.7955,0
360.3994,1026.1544,-13.2404,2.9129,4.3683,0
360.2837,1026.1801,-13.2509,2.9159,4.2747,0
360.1582,1026.2117,-13.2427,2.9159,4.6725,0
360.0393,1026.2286,-13.2513,2.9131,4.3257,0
359.9253,1026.2555,-13.2544,2.9081,4.2137,0
359.8014,1026.2802,-13.2523,2.9058,4.5518,0
359.6931,1026.3179,-13.2667,2.9082,4.1657,0
359.5844,1026.3447,-13.2714,2.9119,4.0419,0
359.4740,1026.3696,-13.2746,2.9152,4.0663,0
359.3622,1026.3904,-13.2872,2.9174,4.1234,0
359.2253,1026.4191,-13.2805,2.9192,5.0419,0
359.1076,1026.4462,-13.2799,2.9185,4.3502,0
358.9841,1026.4695,-13.2749,2.9150,4.5247,0
358.8605,1026.4940,-13.2864,2.9093,4.5479,0
358.7397,1026.5120,-13.2909,2.9020,4.4132,0
358.6220,1026.5365,-13.2976,2.8966,4.3234,0
358.5146,1026.5702,-13.3099,2.8940,4.0771,0
358.3886,1026.5956,-13.3008,2.8927,4.6378,0
358.2762,1026.6262,-13.3146,2.8905,4.2191,0
358.1682,1026.6456,-13.3114,2.8866,3.9592,0
358.0508,1026.6770,-13.3154,2.8812,4.3779,0
357.9315,1026.7122,-13.3187,2.8753,4.4859,0
357.8084,1026.7378,-13.3320,2.8708,4.5509,0
357.6953,1026.7628,-13.3323,2.8677,4.1680,0
357.5925,1026.7898,-13.3475,2.8684,3.8672,0
357.4850,1026.8156,-13.3406,2.8722,3.9897,0
357.3814,1026.8378,-13.3327,2.8763,3.8225,0
357.2707,1026.8768,-13.3462,2.8800,4.2466,0
357.1391,1026.9103,-13.3385,2.8833,4.8842,0
357.0150,1026.9423,-13.3568,2.8861,4.6708,0
356.8971,1026.9646,-13.3576,2.8871,4.3230,0
356.7745,1026.9917,-13.3576,2.8871,4.5190,0
356.6569,1027.0253,-13.3784,2.8882,4.4721,0
356.5360,1027.0590,-13.3835,2.8913,4.5209,0
356.4262,1027.0811,-13.3883,2.8946,4.0355,0
356.3210,1027.0958,-13.3940,2.8983,3.8314,0
356.1919,1027.1106,-13.3966,2.9023,4.6825,0
356.0608,1027.1438,-13.3981,2.9065,4.8668,0
355.9354,1027.1787,-13.4003,2.9098,4.6872,0
355.8109,1027.2100,-13.4074,2.9115,4.6219,0
355.6728,1027.2338,-13.3948,2.9083,5.0727,0
355.5526,1027.2659,-13.4125,2.9041,4.5153,0
355.4247,1027.3000,-13.4296,2.8998,4.8143,0
355.3050,1027.3326,-13.4213,2.8950,4.4818,0
355.1823,1027.3558,-13.4217,2.8891,4.4890,0
355.0620,1027.3718,-13.4164,2.8828,4.3704,0
354.9470,1027.4062,-13.4324,2.8771,4.3565,0
354.8235,1027.4437,-13.4402,2.8708,4.6566,0
354.6934,1027.4780,-13.4483,2.8636,4.8491,0
354.5653,1027.5095,-13.4446,2.8572,4.7605,0
354.4580,1027.5381,-13.4443,2.8519,3.9998,0
354.3479,1027.5664,-13.4512,2.8499,4.0930,0
354.2382,1027.6079,-13.4707,2.8488,4.2773,0
354.1148,1027.6328,-13.4577,2.8471,4.5528,0
353.9847,1027.6707,-13.4684,2.8456,4.8952,0
353.8598,1027.7119,-13.4727,2.8446,4.7341,0
353.7315,1027.7529,-13.4795,2.8432,4.8644,0
353.6128,1027.7871,-13.4890,2.8415,4.4614,0
353.4706,1027.8260,-13.4728,2.8397,5.3436,0
353.3565,1027.8553,-13.5149,2.8392,4.5085,0
353.2383,1027.8820,-13.4910,2.8393,4.4424,0
353.1116,1027.9286,-13.5212,2.8407,4.9829,0
353.0033,1027.9580,-13.5285,2.8428,4.0437,0
352.8659,1028.0084,-13.5303,2.8468,5.2704,0
352.7501,1028.0413,-13.5329,2.8513,4.3344,0
352.6230,1028.0757,-13.5412,2.8550,4.7482,0
352.4933,1028.0950,-13.5407,2.8589,4.7163,0
352.3794,1028.1344,-13.5410,2.8631,4.3470,0
352.2440,1028.1605,-13.5305,2.8667,4.9826,0
352.1310,1028.1995,-13.5509,2.8681,4.3581,0
351.9802,1028.2356,-13.5403,2.8635,5.5927,0
